"Params","coefs","2.5 %","97.5 %"
"ar.log(pop)","1.002","0.89","1.128"
"ar.HDI_cat","1.125","0.915","1.384"
"ar.LL","1.6","1.181","2.168"
"ar.sindex_lag","1.037","0.965","1.116"
"ar.testing_lag","1.138","1.008","1.286"
"ar.ri(iid)","0.397","0.203","0.778"
"ne.1","0.365","0.23","0.58"
"ne.HDI_cat","2.769","2.257","3.397"
"ne.LL","0.078","0.049","0.123"
"ne.sindex_lag","0.843","0.764","0.931"
"ne.testing_lag","0.601","0.502","0.72"
"end.1","22.735","1.706","302.942"
"neweights.d","1.993","1.581","2.405"
"overdisp","2.241","2.138","2.343"
"","","",""
"AIC",NA,"",""
"","","",""
"logs","rps","dss","ses"
"5.394","362.997","10.919","1651718.651"
